,name,rating,reviews,company_details,salaries,interviews,jobs,benefits,rated_for
0,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
1,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
3,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
4,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
5,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
6,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
7,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
8,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
9,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
10,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
11,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
12,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
13,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
14,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
15,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
16,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
17,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
18,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
19,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
20,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
21,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
22,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
23,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
24,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
25,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
26,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
27,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
28,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
29,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
30,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
31,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
32,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
33,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
34,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
35,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
36,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
37,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
38,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
39,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
40,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
41,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
42,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
43,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
44,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
45,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
46,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
47,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
48,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
49,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
50,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
51,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
52,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
53,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
54,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
55,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
56,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
57,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
58,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
59,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
60,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
61,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
62,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
63,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
64,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
65,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
66,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
67,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
68,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
69,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
70,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
71,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
72,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
73,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
74,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
75,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
76,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
77,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
78,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
79,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
80,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
81,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
82,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
83,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
84,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
85,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
86,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
87,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
88,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
89,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
90,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
91,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
92,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
93,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
94,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
95,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
96,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
97,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
98,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
99,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
100,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
101,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
102,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
103,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
104,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
105,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
106,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
